date=2026-05-22, mr20=57.3844%, u4=46, d4=19, w20=21, universe=887
date=2024-12-09, mr20=79.1083%, u4=40, d4=8, w20=11, universe=785
date=2024-12-06, mr20=81.7602%, u4=47, d4=2, w20=11, universe=784
date=2024-12-05, mr20=79.7194%, u4=32, d4=4, w20=6, universe=784
date=2024-12-04, mr20=80.102%, u4=55, d4=6, w20=12, universe=784
date=2024-12-03, mr20=78.5714%, u4=60, d4=5, w20=13, universe=784
date=2024-12-02, mr20=69.3878%, u4=56, d4=6, w20=15, universe=784
date=2024-11-29, mr20=64.4133%, u4=49, d4=5, w20=15, universe=784
date=2024-11-28, mr20=60.5364%, u4=47, d4=5, w20=13, universe=783
date=2024-11-27, mr20=58.7484%, u4=70, d4=2, w20=7, universe=783
date=2024-11-26, mr20=48.5934%, u4=58, d4=9, w20=5, universe=782
date=2024-11-25, mr20=43.2225%, u4=109, d4=4, w20=5, universe=782
date=2024-11-22, mr20=28.0051%, u4=41, d4=5, w20=9, universe=782
date=2024-11-21, mr20=22.1511%, u4=27, d4=42, w20=1, universe=781
date=2024-11-19, mr20=23.6876%, u4=52, d4=6, w20=0, universe=781
date=2024-11-18, mr20=19.2061%, u4=38, d4=34, w20=3, universe=781
date=2024-11-14, mr20=18.1818%, u4=45, d4=11, w20=0, universe=781
date=2024-11-13, mr20=12.0823%, u4=4, d4=166, w20=2, universe=778
date=2024-11-12, mr20=25.7732%, u4=16, d4=32, w20=3, universe=776
date=2024-11-11, mr20=34.3226%, u4=15, d4=42, w20=4, universe=775
date=2024-11-08, mr20=37.6774%, u4=12, d4=41, w20=4, universe=775
date=2024-11-07, mr20=53.8065%, u4=30, d4=15, w20=12, universe=775
date=2024-11-06, mr20=62.8387%, u4=119, d4=4, w20=8, universe=775
date=2024-11-05, mr20=39.2765%, u4=45, d4=8, w20=8, universe=774
date=2024-11-04, mr20=32.6873%, u4=18, d4=73, w20=7, universe=774
date=2024-11-01, mr20=51.4877%, u4=20, d4=0, w20=18, universe=773
date=2024-10-31, mr20=40.4916%, u4=64, d4=16, w20=8, universe=773
date=2024-10-30, mr20=31.8241%, u4=82, d4=7, w20=7, universe=773
date=2024-10-29, mr20=19.9224%, u4=41, d4=13, w20=6, universe=773
date=2024-10-28, mr20=14.3596%, u4=62, d4=20, w20=1, universe=773
date=2024-10-25, mr20=11.0104%, u4=6, d4=129, w20=0, universe=772
date=2024-10-24, mr20=14.1192%, u4=17, d4=20, w20=0, universe=772
date=2024-10-23, mr20=14.2487%, u4=42, d4=13, w20=0, universe=772
date=2024-10-22, mr20=11.0104%, u4=5, d4=277, w20=0, universe=772
date=2024-10-21, mr20=25.5512%, u4=8, d4=44, w20=2, universe=771
date=2024-10-18, mr20=37.0947%, u4=24, d4=15, w20=6, universe=771
date=2024-10-17, mr20=38.4416%, u4=6, d4=28, w20=7, universe=770
date=2024-10-16, mr20=51.2354%, u4=53, d4=11, w20=12, universe=769
date=2024-10-15, mr20=47.5943%, u4=40, d4=3, w20=11, universe=769
date=2024-10-14, mr20=42.8385%, u4=31, d4=7, w20=17, universe=768
date=2024-10-11, mr20=42.0573%, u4=41, d4=2, w20=3, universe=768
date=2024-10-10, mr20=40.4948%, u4=42, d4=1, w20=4, universe=768
date=2024-10-09, mr20=36.1979%, u4=63, d4=1, w20=1, universe=768
date=2024-10-08, mr20=26.6927%, u4=90, d4=3, w20=1, universe=768
date=2024-10-07, mr20=13.151%, u4=2, d4=218, w20=0, universe=768
date=2024-10-04, mr20=27.0833%, u4=15, d4=18, w20=1, universe=768
date=2024-10-03, mr20=34.2448%, u4=15, d4=61, w20=2, universe=768
date=2024-10-01, mr20=53.0639%, u4=41, d4=0, w20=2, universe=767
date=2024-09-30, mr20=48.3703%, u4=26, d4=7, w20=3, universe=767
date=2024-09-27, mr20=52.412%, u4=38, d4=9, w20=4, universe=767
date=2024-09-26, mr20=51.6297%, u4=15, d4=7, w20=3, universe=767
date=2024-09-25, mr20=55.1499%, u4=26, d4=4, w20=2, universe=767
date=2024-09-24, mr20=58.6701%, u4=35, d4=11, w20=2, universe=767
date=2024-09-23, mr20=57.5718%, u4=58, d4=3, w20=3, universe=766
date=2024-09-20, mr20=48.9556%, u4=75, d4=4, w20=4, universe=766
date=2024-09-19, mr20=42.4282%, u4=10, d4=36, w20=4, universe=766
date=2024-09-18, mr20=51.5666%, u4=14, d4=13, w20=7, universe=766
date=2024-09-17, mr20=60.0522%, u4=25, d4=4, w20=5, universe=766
date=2024-09-16, mr20=61.8301%, u4=45, d4=9, w20=9, universe=765
date=2024-09-13, mr20=61.9921%, u4=44, d4=3, w20=7, universe=763
date=2024-09-12, mr20=57.0118%, u4=36, d4=4, w20=4, universe=763
date=2024-09-11, mr20=49.4102%, u4=18, d4=9, w20=5, universe=763
date=2024-09-10, mr20=57.7428%, u4=58, d4=5, w20=5, universe=762
date=2024-09-09, mr20=47.5066%, u4=23, d4=14, w20=5, universe=762
date=2024-09-06, mr20=51.5748%, u4=13, d4=17, w20=4, universe=762
date=2024-09-05, mr20=63.9947%, u4=43, d4=2, w20=10, universe=761
date=2024-09-04, mr20=61.4474%, u4=42, d4=7, w20=3, universe=760
date=2024-09-03, mr20=62.5%, u4=31, d4=3, w20=2, universe=760
date=2024-09-02, mr20=61.1331%, u4=25, d4=11, w20=5, universe=759
date=2024-08-30, mr20=65.3491%, u4=54, d4=4, w20=6, universe=759
date=2024-08-29, mr20=59.8155%, u4=20, d4=10, w20=6, universe=759
date=2024-08-28, mr20=67.9842%, u4=23, d4=4, w20=9, universe=759
date=2024-08-27, mr20=70.3557%, u4=46, d4=3, w20=8, universe=759
date=2024-08-26, mr20=68.9065%, u4=49, d4=5, w20=12, universe=759
date=2024-08-23, mr20=69.657%, u4=39, d4=6, w20=19, universe=758
date=2024-08-22, mr20=73.6148%, u4=43, d4=4, w20=19, universe=758
date=2024-08-21, mr20=68.8654%, u4=64, d4=4, w20=14, universe=758
date=2024-08-20, mr20=60.2902%, u4=52, d4=6, w20=10, universe=758
date=2024-08-19, mr20=54.3536%, u4=75, d4=3, w20=16, universe=758
date=2024-08-16, mr20=45.7784%, u4=76, d4=9, w20=9, universe=758
date=2024-08-14, mr20=35.3562%, u4=19, d4=27, w20=12, universe=758
date=2024-08-13, mr20=38.1266%, u4=16, d4=31, w20=21, universe=758
date=2024-08-12, mr20=46.4993%, u4=58, d4=17, w20=15, universe=757
date=2024-08-09, mr20=46.3672%, u4=57, d4=8, w20=8, universe=757
date=2024-08-08, mr20=38.8889%, u4=33, d4=12, w20=5, universe=756
date=2024-08-07, mr20=41.7772%, u4=92, d4=3, w20=3, universe=754
date=2024-08-06, mr20=26.1273%, u4=20, d4=23, w20=0, universe=754
date=2024-08-05, mr20=24.9668%, u4=6, d4=301, w20=4, universe=753
date=2024-08-02, mr20=55.5113%, u4=36, d4=16, w20=8, universe=753
date=2024-08-01, mr20=66.1355%, u4=34, d4=11, w20=8, universe=753
date=2024-07-31, mr20=74.9004%, u4=33, d4=12, w20=8, universe=753
date=2024-07-30, mr20=77.6596%, u4=46, d4=3, w20=11, universe=752
date=2024-07-29, mr20=75.7979%, u4=60, d4=3, w20=7, universe=752
date=2024-07-26, mr20=69.9468%, u4=54, d4=5, w20=8, universe=752
date=2024-07-25, mr20=57.3901%, u4=39, d4=8, w20=6, universe=751
date=2024-07-24, mr20=58.8549%, u4=89, d4=3, w20=3, universe=751
date=2024-07-23, mr20=43.0093%, u4=39, d4=25, w20=1, universe=751
date=2024-07-22, mr20=45.6724%, u4=35, d4=8, w20=2, universe=751
date=2024-07-19, mr20=38.3489%, u4=6, d4=67, w20=3, universe=751
date=2024-07-18, mr20=61.6511%, u4=16, d4=27, w20=5, universe=751
date=2024-07-16, mr20=70.4394%, u4=31, d4=2, w20=7, universe=751
date=2024-07-15, mr20=71.771%, u4=41, d4=4, w20=6, universe=751
date=2024-07-12, mr20=67.3333%, u4=32, d4=6, w20=8, universe=750
date=2024-07-11, mr20=71.2%, u4=46, d4=2, w20=8, universe=750
date=2024-07-10, mr20=70.4%, u4=25, d4=15, w20=8, universe=750
date=2024-07-09, mr20=77.9706%, u4=40, d4=7, w20=10, universe=749
date=2024-07-08, mr20=76.235%, u4=44, d4=13, w20=13, universe=749
date=2024-07-05, mr20=81.5754%, u4=55, d4=2, w20=23, universe=749
date=2024-07-04, mr20=80.9079%, u4=51, d4=5, w20=17, universe=749
date=2024-07-03, mr20=79.8398%, u4=51, d4=0, w20=7, universe=749
date=2024-07-02, mr20=74.2323%, u4=42, d4=5, w20=13, universe=749
date=2024-07-01, mr20=75.9358%, u4=94, d4=2, w20=14, universe=748
date=2024-06-28, mr20=68.984%, u4=39, d4=3, w20=4, universe=748
date=2024-06-27, mr20=67.3797%, u4=21, d4=13, w20=7, universe=748
date=2024-06-26, mr20=72.9947%, u4=40, d4=3, w20=11, universe=748
date=2024-06-25, mr20=77.1084%, u4=28, d4=5, w20=9, universe=747
date=2024-06-24, mr20=78.4471%, u4=45, d4=5, w20=9, universe=747
date=2024-06-21, mr20=82.4632%, u4=34, d4=8, w20=14, universe=747
date=2024-06-20, mr20=84.6051%, u4=73, d4=1, w20=23, universe=747
date=2024-06-19, mr20=82.5971%, u4=42, d4=8, w20=15, universe=747
date=2024-06-18, mr20=88.0857%, u4=63, d4=7, w20=27, universe=747
date=2024-06-14, mr20=89.1421%, u4=64, d4=0, w20=24, universe=746
date=2024-06-13, mr20=88.0697%, u4=60, d4=2, w20=22, universe=746
date=2024-06-12, mr20=87.6676%, u4=51, d4=0, w20=44, universe=746
date=2024-06-11, mr20=83.244%, u4=66, d4=5, w20=65, universe=746
date=2024-06-10, mr20=80.429%, u4=74, d4=3, w20=6, universe=746
date=2024-06-07, mr20=73.9946%, u4=105, d4=1, w20=7, universe=746
date=2024-06-06, mr20=54.1555%, u4=106, d4=2, w20=6, universe=746
date=2024-06-05, mr20=33.1099%, u4=88, d4=19, w20=5, universe=746
date=2024-06-04, mr20=13.2708%, u4=6, d4=410, w20=3, universe=746
date=2024-06-03, mr20=53.7534%, u4=129, d4=4, w20=5, universe=746
date=2024-05-31, mr20=39.008%, u4=56, d4=9, w20=3, universe=746
date=2024-05-30, mr20=35.1206%, u4=11, d4=30, w20=3, universe=746
date=2024-05-29, mr20=45.6376%, u4=27, d4=14, w20=6, universe=745
date=2024-05-28, mr20=49.9329%, u4=12, d4=21, w20=2, universe=745
date=2024-05-27, mr20=56.2416%, u4=33, d4=19, w20=6, universe=745
date=2024-05-24, mr20=58.255%, u4=24, d4=11, w20=12, universe=745
date=2024-05-23, mr20=62.953%, u4=33, d4=7, w20=16, universe=745
date=2024-05-22, mr20=62.5503%, u4=42, d4=15, w20=17, universe=745
date=2024-05-21, mr20=63.0872%, u4=65, d4=40, w20=15, universe=745
date=2024-05-18, mr20=71.4094%, u4=8, d4=0, w20=16, universe=745
date=2024-05-17, mr20=65.1007%, u4=60, d4=4, w20=12, universe=745
date=2024-05-16, mr20=57.8523%, u4=35, d4=7, w20=7, universe=745
date=2024-05-15, mr20=53.9597%, u4=53, d4=8, w20=3, universe=745
date=2024-05-14, mr20=46.7026%, u4=82, d4=2, w20=4, universe=743
date=2024-05-13, mr20=33.782%, u4=34, d4=12, w20=3, universe=743
date=2024-05-10, mr20=32.1669%, u4=33, d4=5, w20=2, universe=743
date=2024-05-09, mr20=24.3607%, u4=7, d4=77, w20=1, universe=743
date=2024-05-08, mr20=45.3567%, u4=26, d4=11, w20=1, universe=743
date=2024-05-07, mr20=37.4159%, u4=14, d4=56, w20=3, universe=743
date=2024-05-06, mr20=55.1817%, u4=21, d4=32, w20=6, universe=743
date=2024-05-03, mr20=67.7898%, u4=26, d4=8, w20=3, universe=742
date=2024-05-02, mr20=74.1588%, u4=39, d4=9, w20=7, universe=743
date=2024-04-30, mr20=77.6581%, u4=33, d4=6, w20=7, universe=743
date=2024-04-29, mr20=79.3801%, u4=38, d4=8, w20=6, universe=742
date=2024-04-26, mr20=77.8677%, u4=38, d4=8, w20=10, universe=741
date=2024-04-25, mr20=78.0027%, u4=43, d4=5, w20=12, universe=741
date=2024-04-24, mr20=76.7881%, u4=51, d4=7, w20=14, universe=741
date=2024-04-23, mr20=71.1201%, u4=61, d4=4, w20=23, universe=741
date=2024-04-22, mr20=64.5946%, u4=73, d4=4, w20=16, universe=740
date=2024-04-19, mr20=50.2703%, u4=29, d4=3, w20=13, universe=740
date=2024-04-18, mr20=53.5135%, u4=41, d4=10, w20=9, universe=740
date=2024-04-16, mr20=55.8108%, u4=42, d4=1, w20=9, universe=740
date=2024-04-15, mr20=52.4324%, u4=12, d4=44, w20=6, universe=740
date=2024-04-12, mr20=71.4865%, u4=15, d4=9, w20=8, universe=740
date=2024-04-10, mr20=79.161%, u4=51, d4=2, w20=10, universe=739
date=2024-04-09, mr20=78.6198%, u4=20, d4=3, w20=11, universe=739
date=2024-04-08, mr20=86.7388%, u4=48, d4=8, w20=15, universe=739
date=2024-04-05, mr20=87.1448%, u4=41, d4=0, w20=24, universe=739
date=2024-04-04, mr20=85.9269%, u4=46, d4=5, w20=22, universe=739
date=2024-04-03, mr20=85.7916%, u4=80, d4=1, w20=12, universe=739
date=2024-04-02, mr20=82.6793%, u4=75, d4=4, w20=7, universe=739
date=2024-04-01, mr20=73.5772%, u4=150, d4=2, w20=14, universe=738
date=2024-03-28, mr20=48.7805%, u4=31, d4=8, w20=17, universe=738
date=2024-03-27, mr20=44.4444%, u4=50, d4=17, w20=12, universe=738
date=2024-03-26, mr20=37.9404%, u4=49, d4=18, w20=4, universe=738
date=2024-03-22, mr20=38.2114%, u4=46, d4=1, w20=5, universe=738
date=2024-03-21, mr20=27.1003%, u4=87, d4=3, w20=2, universe=738
date=2024-03-20, mr20=14.3631%, u4=26, d4=8, w20=8, universe=738
date=2024-03-19, mr20=14.2276%, u4=10, d4=22, w20=2, universe=738
date=2024-03-18, mr20=18.4282%, u4=34, d4=6, w20=0, universe=738
date=2024-03-15, mr20=15.3117%, u4=41, d4=19, w20=0, universe=738
date=2024-03-14, mr20=13.6856%, u4=94, d4=4, w20=0, universe=738
date=2024-03-13, mr20=6.3686%, u4=2, d4=371, w20=0, universe=738
date=2024-03-12, mr20=18.6992%, u4=7, d4=115, w20=0, universe=738
date=2024-03-11, mr20=28.0488%, u4=13, d4=85, w20=3, universe=738
date=2024-03-07, mr20=36.9919%, u4=34, d4=2, w20=3, universe=738
date=2024-03-06, mr20=33.1978%, u4=6, d4=63, w20=4, universe=738
date=2024-03-05, mr20=46.9471%, u4=23, d4=22, w20=2, universe=737
date=2024-03-04, mr20=52.3745%, u4=25, d4=30, w20=3, universe=737
date=2024-03-02, mr20=59.2391%, u4=2, d4=4, w20=3, universe=736
date=2024-03-01, mr20=52.3745%, u4=50, d4=4, w20=5, universe=737
date=2024-02-29, mr20=43.6906%, u4=45, d4=10, w20=5, universe=737
date=2024-02-28, mr20=40.1628%, u4=12, d4=55, w20=4, universe=737
date=2024-02-27, mr20=55.4953%, u4=26, d4=15, w20=11, universe=737
date=2024-02-26, mr20=57.9376%, u4=40, d4=7, w20=12, universe=737
date=2024-02-23, mr20=64.1791%, u4=49, d4=1, w20=12, universe=737
date=2024-02-22, mr20=58.3446%, u4=38, d4=0, w20=13, universe=737
date=2024-02-21, mr20=53.867%, u4=25, d4=15, w20=9, universe=737
date=2024-02-20, mr20=63.772%, u4=39, d4=3, w20=21, universe=737
date=2024-02-19, mr20=64.5862%, u4=63, d4=6, w20=20, universe=737
date=2024-02-16, mr20=59.0231%, u4=62, d4=6, w20=6, universe=737
date=2024-02-15, mr20=52.1739%, u4=77, d4=4, w20=5, universe=736
date=2024-02-14, mr20=46.4674%, u4=61, d4=9, w20=4, universe=736
date=2024-02-13, mr20=38.8813%, u4=42, d4=25, w20=5, universe=733
date=2024-02-12, mr20=36.5621%, u4=15, d4=117, w20=8, universe=733
date=2024-02-09, mr20=56.4802%, u4=23, d4=41, w20=13, universe=733
date=2024-02-08, mr20=64.9386%, u4=45, d4=21, w20=13, universe=733
date=2024-02-07, mr20=69.9864%, u4=62, d4=11, w20=13, universe=733
date=2024-02-06, mr20=68.2128%, u4=70, d4=11, w20=16, universe=733
date=2024-02-05, mr20=61.2551%, u4=48, d4=36, w20=16, universe=733
date=2024-02-02, mr20=64.6658%, u4=58, d4=13, w20=24, universe=733
date=2024-02-01, mr20=67.8035%, u4=43, d4=12, w20=28, universe=733
date=2024-01-31, mr20=72.0327%, u4=79, d4=5, w20=27, universe=733
date=2024-01-30, mr20=59.618%, u4=38, d4=6, w20=15, universe=733
date=2024-01-29, mr20=60.5191%, u4=72, d4=7, w20=20, universe=732
date=2024-01-25, mr20=56.1475%, u4=59, d4=12, w20=19, universe=732
date=2024-01-24, mr20=53.8251%, u4=52, d4=14, w20=17, universe=732
date=2024-01-23, mr20=41.4734%, u4=8, d4=143, w20=6, universe=733
date=2024-01-20, mr20=63.4379%, u4=55, d4=3, w20=11, universe=733
date=2024-01-19, mr20=61.9372%, u4=57, d4=3, w20=12, universe=733
date=2024-01-18, mr20=53.8881%, u4=32, d4=13, w20=9, universe=733
date=2024-01-17, mr20=56.0709%, u4=15, d4=9, w20=12, universe=733
date=2024-01-16, mr20=69.2623%, u4=28, d4=11, w20=11, universe=732
date=2024-01-15, mr20=73.3242%, u4=44, d4=3, w20=14, universe=731
date=2024-01-12, mr20=77.565%, u4=43, d4=3, w20=7, universe=731
date=2024-01-11, mr20=74.9658%, u4=58, d4=4, w20=10, universe=731
date=2024-01-10, mr20=69.7674%, u4=44, d4=2, w20=9, universe=731
date=2024-01-09, mr20=71.5458%, u4=28, d4=5, w20=11, universe=731
date=2024-01-08, mr20=71.2722%, u4=25, d4=14, w20=10, universe=731
date=2024-01-05, mr20=82.4897%, u4=28, d4=3, w20=11, universe=731
date=2024-01-04, mr20=80.1642%, u4=56, d4=1, w20=15, universe=731
date=2024-01-03, mr20=73.5978%, u4=43, d4=5, w20=10, universe=731
date=2024-01-02, mr20=75.7866%, u4=35, d4=2, w20=10, universe=731
date=2024-01-01, mr20=79.4802%, u4=55, d4=2, w20=10, universe=731
date=2023-12-29, mr20=74.6922%, u4=38, d4=4, w20=10, universe=731
date=2023-12-28, mr20=71.5458%, u4=36, d4=3, w20=13, universe=731
date=2023-12-27, mr20=73.0137%, u4=19, d4=2, w20=6, universe=730
date=2023-12-26, mr20=69.6845%, u4=45, d4=2, w20=7, universe=729
date=2023-12-22, mr20=66.2551%, u4=53, d4=6, w20=5, universe=729
date=2023-12-21, mr20=60.3567%, u4=40, d4=2, w20=4, universe=729
date=2023-12-20, mr20=44.6429%, u4=7, d4=231, w20=1, universe=728
date=2023-12-19, mr20=79.6424%, u4=32, d4=2, w20=5, universe=727
date=2023-12-18, mr20=80.0275%, u4=42, d4=0, w20=4, universe=726
date=2023-12-15, mr20=80.0275%, u4=43, d4=6, w20=9, universe=726
date=2023-12-14, mr20=78.9256%, u4=48, d4=2, w20=12, universe=726
date=2023-12-13, mr20=74.6207%, u4=44, d4=3, w20=8, universe=725
date=2023-12-12, mr20=71.4483%, u4=39, d4=8, w20=8, universe=725
date=2023-12-11, mr20=76.1708%, u4=48, d4=5, w20=9, universe=726
date=2023-12-08, mr20=75.8953%, u4=23, d4=7, w20=10, universe=726
date=2023-12-07, mr20=80.303%, u4=43, d4=10, w20=14, universe=726
date=2023-12-06, mr20=79.2011%, u4=38, d4=6, w20=11, universe=726
date=2023-12-05, mr20=79.8898%, u4=38, d4=3, w20=11, universe=726
date=2023-12-04, mr20=84.022%, u4=72, d4=5, w20=8, universe=726
date=2023-12-01, mr20=76.7218%, u4=31, d4=2, w20=6, universe=726
date=2023-11-30, mr20=74.069%, u4=54, d4=6, w20=9, universe=725
date=2023-11-29, mr20=72.7524%, u4=30, d4=4, w20=4, universe=723
date=2023-11-28, mr20=71.5076%, u4=38, d4=3, w20=5, universe=723
date=2023-11-24, mr20=69.2521%, u4=33, d4=4, w20=6, universe=722
date=2023-11-23, mr20=71.4681%, u4=28, d4=6, w20=7, universe=722
date=2023-11-22, mr20=69.5291%, u4=28, d4=6, w20=5, universe=722
date=2023-11-21, mr20=72.7147%, u4=33, d4=4, w20=7, universe=722
date=2023-11-20, mr20=70.6777%, u4=42, d4=6, w20=6, universe=723
date=2023-11-17, mr20=71.8837%, u4=40, d4=10, w20=9, universe=722
date=2023-11-16, mr20=75.9003%, u4=32, d4=2, w20=6, universe=722
date=2023-11-15, mr20=72.7147%, u4=64, d4=5, w20=4, universe=722
date=2023-11-13, mr20=65.6985%, u4=48, d4=4, w20=6, universe=723
date=2023-11-12, mr20=70.7756%, u4=13, d4=3, w20=7, universe=722
date=2023-11-10, mr20=60.6648%, u4=33, d4=12, w20=7, universe=722
date=2023-11-09, mr20=61.4958%, u4=27, d4=17, w20=5, universe=722
date=2023-11-08, mr20=66.6205%, u4=31, d4=7, w20=10, universe=722
date=2023-11-07, mr20=62.6039%, u4=48, d4=8, w20=11, universe=722
date=2023-11-06, mr20=61.0803%, u4=58, d4=5, w20=7, universe=722
date=2023-11-03, mr20=52.5%, u4=52, d4=5, w20=7, universe=720
date=2023-11-02, mr20=43.3333%, u4=48, d4=10, w20=6, universe=720
date=2023-11-01, mr20=32.3611%, u4=15, d4=11, w20=7, universe=720
date=2023-10-31, mr20=34.7705%, u4=26, d4=8, w20=8, universe=719
date=2023-10-30, mr20=31.25%, u4=37, d4=11, w20=3, universe=720
date=2023-10-27, mr20=28.0946%, u4=56, d4=4, w20=3, universe=719
date=2023-10-26, mr20=15.4381%, u4=35, d4=12, w20=1, universe=719
date=2023-10-25, mr20=16.8289%, u4=13, d4=44, w20=1, universe=719
date=2023-10-23, mr20=16.3889%, u4=6, d4=243, w20=2, universe=720
date=2023-10-20, mr20=49.3741%, u4=11, d4=17, w20=6, universe=719
date=2023-10-19, mr20=59.5271%, u4=24, d4=5, w20=7, universe=719
date=2023-10-18, mr20=61.1961%, u4=19, d4=13, w20=8, universe=719
date=2023-10-17, mr20=71.3491%, u4=39, d4=3, w20=13, universe=719
date=2023-10-16, mr20=65%, u4=46, d4=2, w20=14, universe=720
date=2023-10-13, mr20=63.6996%, u4=28, d4=2, w20=7, universe=719
date=2023-10-12, mr20=68.2893%, u4=40, d4=0, w20=7, universe=719
date=2023-10-11, mr20=61.8056%, u4=38, d4=1, w20=7, universe=720
date=2023-10-10, mr20=53.75%, u4=59, d4=2, w20=4, universe=720
date=2023-10-09, mr20=40.2778%, u4=9, d4=37, w20=3, universe=720
date=2023-10-06, mr20=60.4167%, u4=51, d4=0, w20=7, universe=720
date=2023-10-05, mr20=51.5278%, u4=44, d4=2, w20=6, universe=720
date=2023-10-04, mr20=44.5833%, u4=14, d4=13, w20=5, universe=720
date=2023-10-03, mr20=58.1944%, u4=33, d4=2, w20=6, universe=720
date=2023-09-29, mr20=55.9889%, u4=38, d4=1, w20=4, universe=718
date=2023-09-28, mr20=48.0501%, u4=17, d4=8, w20=6, universe=718
date=2023-09-27, mr20=53.9749%, u4=36, d4=2, w20=4, universe=717
date=2023-09-26, mr20=46.7133%, u4=32, d4=1, w20=3, universe=715
date=2023-09-25, mr20=45.8741%, u4=37, d4=4, w20=5, universe=715
date=2023-09-22, mr20=40.7563%, u4=29, d4=2, w20=5, universe=714
date=2023-09-21, mr20=43.2584%, u4=12, d4=6, w20=7, universe=712
date=2023-09-20, mr20=55.0562%, u4=22, d4=9, w20=14, universe=712
date=2023-09-18, mr20=63.9045%, u4=18, d4=4, w20=6, universe=712
date=2023-09-15, mr20=72.4965%, u4=46, d4=10, w20=1, universe=709
date=2023-09-14, mr20=70.8039%, u4=51, d4=0, w20=4, universe=709
date=2023-09-13, mr20=59.6615%, u4=36, d4=5, w20=7, universe=709
date=2023-09-12, mr20=50.9168%, u4=1, d4=245, w20=2, universe=709
date=2023-09-11, mr20=86.4789%, u4=53, d4=7, w20=13, universe=710
date=2023-09-08, mr20=85.1485%, u4=38, d4=3, w20=10, universe=707
date=2023-09-07, mr20=84.017%, u4=38, d4=1, w20=14, universe=707
date=2023-09-06, mr20=82.5779%, u4=32, d4=6, w20=13, universe=706
date=2023-09-05, mr20=81.0198%, u4=53, d4=5, w20=15, universe=706
date=2023-09-04, mr20=79.6322%, u4=63, d4=4, w20=18, universe=707
date=2023-09-01, mr20=78.4703%, u4=57, d4=4, w20=12, universe=706
date=2023-08-31, mr20=73.2295%, u4=38, d4=6, w20=7, universe=706
date=2023-08-30, mr20=75.3191%, u4=37, d4=2, w20=11, universe=705
date=2023-08-29, mr20=70.6383%, u4=51, d4=5, w20=10, universe=705
date=2023-08-28, mr20=64.4476%, u4=51, d4=4, w20=12, universe=706
date=2023-08-25, mr20=61.2766%, u4=16, d4=2, w20=10, universe=705
date=2023-08-24, mr20=68.6525%, u4=27, d4=5, w20=9, universe=705
date=2023-08-23, mr20=68.227%, u4=47, d4=5, w20=6, universe=705
date=2023-08-22, mr20=64.2553%, u4=61, d4=0, w20=7, universe=705
date=2023-08-21, mr20=57.1023%, u4=42, d4=9, w20=10, universe=704
date=2023-08-18, mr20=53.3428%, u4=28, d4=6, w20=8, universe=703
date=2023-08-17, mr20=55.9829%, u4=35, d4=7, w20=10, universe=702
date=2023-08-16, mr20=55.8405%, u4=59, d4=10, w20=11, universe=702
date=2023-08-14, mr20=55.1282%, u4=29, d4=38, w20=7, universe=702
date=2023-08-11, mr20=62.1969%, u4=33, d4=30, w20=7, universe=701
date=2023-08-10, mr20=68.9016%, u4=22, d4=16, w20=15, universe=701
date=2023-08-09, mr20=72.8959%, u4=58, d4=8, w20=18, universe=701
date=2023-08-08, mr20=71.7546%, u4=40, d4=10, w20=5, universe=701
date=2023-08-07, mr20=70.3281%, u4=56, d4=19, w20=7, universe=701
date=2023-08-04, mr20=70.3863%, u4=45, d4=9, w20=12, universe=699
date=2023-08-03, mr20=64.9499%, u4=34, d4=9, w20=10, universe=699
date=2023-08-02, mr20=65.8083%, u4=14, d4=26, w20=6, universe=699
date=2023-08-01, mr20=79.2561%, u4=47, d4=8, w20=12, universe=699
date=2023-07-31, mr20=75.6795%, u4=62, d4=6, w20=11, universe=699
date=2023-07-28, mr20=70.3863%, u4=35, d4=11, w20=11, universe=699
date=2023-07-27, mr20=70.2432%, u4=44, d4=6, w20=8, universe=699
date=2023-07-26, mr20=72.2063%, u4=36, d4=9, w20=8, universe=698
date=2023-07-25, mr20=68.9112%, u4=36, d4=10, w20=9, universe=698
date=2023-07-24, mr20=69.914%, u4=47, d4=12, w20=8, universe=698
date=2023-07-21, mr20=72.0863%, u4=37, d4=10, w20=13, universe=695
date=2023-07-20, mr20=76.9784%, u4=31, d4=7, w20=12, universe=695
date=2023-07-19, mr20=77.2662%, u4=35, d4=1, w20=9, universe=695
date=2023-07-18, mr20=74.6763%, u4=23, d4=10, w20=8, universe=695
date=2023-07-17, mr20=80.2292%, u4=50, d4=6, w20=10, universe=698
date=2023-07-14, mr20=73.6311%, u4=56, d4=1, w20=9, universe=694
date=2023-07-13, mr20=66.2338%, u4=15, d4=13, w20=8, universe=693
date=2023-07-12, mr20=75.469%, u4=39, d4=2, w20=10, universe=693
date=2023-07-11, mr20=75.3247%, u4=47, d4=5, w20=8, universe=693
date=2023-07-10, mr20=70.2158%, u4=24, d4=5, w20=5, universe=695
date=2023-07-07, mr20=75.9019%, u4=22, d4=2, w20=5, universe=693
date=2023-07-06, mr20=81.6474%, u4=39, d4=3, w20=5, universe=692
date=2023-07-05, mr20=78.3237%, u4=43, d4=5, w20=9, universe=692
date=2023-07-04, mr20=75.1804%, u4=26, d4=6, w20=7, universe=693
date=2023-07-03, mr20=77.9856%, u4=41, d4=3, w20=8, universe=695
